req_consecutive,alpha,reach_resnet,reach_vit,reach_gap_abs,paired_reach,mean_td_resnet_paired,mean_td_vit_paired,td_gap_paired (R-V),cohens_d_paired,n_paired,n_total
6,0.94,0.58,0.158,0.42199999999999993,0.106,0.010781671159029648,0.11492281303602056,-0.10414114187699092,0.8579007568795303,53,500
6,0.95,0.576,0.158,0.4179999999999999,0.106,0.010781671159029648,0.1269296740994854,-0.11614800294045577,0.9038294756835622,53,500
6,0.96,0.572,0.156,0.4159999999999999,0.104,0.010989010989010988,0.12062937062937062,-0.10964035964035963,0.8732455699750541,52,500
6,0.97,0.57,0.156,0.4139999999999999,0.104,0.010989010989010988,0.1311188811188811,-0.1201298701298701,0.912416332253905,52,500
6,0.98,0.57,0.156,0.4139999999999999,0.104,0.010989010989010988,0.1311188811188811,-0.1201298701298701,0.912416332253905,52,500
6,0.99,0.57,0.154,0.4159999999999999,0.102,0.011204481792717087,0.1265597147950089,-0.11535523300229182,0.881398991466424,51,500
7,0.7,0.494,0.178,0.316,0.102,0.008403361344537815,0.11586452762923348,-0.10746116628469567,0.817404159022955,51,500
7,0.71,0.48,0.178,0.302,0.098,0.008746355685131196,0.11688311688311687,-0.10813676119798567,0.8101475355631738,49,500
7,0.72,0.476,0.174,0.302,0.094,0.00911854103343465,0.11218568665377174,-0.10306714562033709,0.7861045687216595,47,500
7,0.73,0.476,0.174,0.302,0.094,0.00911854103343465,0.11218568665377174,-0.10306714562033709,0.7861045687216595,47,500
7,0.74,0.472,0.172,0.3,0.092,0.009316770186335404,0.11462450592885373,-0.10530773574251832,0.7976866124232338,46,500
7,0.75,0.47,0.172,0.298,0.09,0.012698412698412698,0.11717171717171715,-0.10447330447330445,0.7815987908145486,45,500
7,0.76,0.466,0.17,0.29600000000000004,0.09,0.012698412698412698,0.11919191919191917,-0.10649350649350647,0.7836403836725804,45,500
7,0.77,0.466,0.168,0.29800000000000004,0.088,0.012987012987012986,0.12190082644628096,-0.10891381345926797,0.7958970401997256,44,500
7,0.78,0.466,0.168,0.29800000000000004,0.088,0.012987012987012986,0.12190082644628096,-0.10891381345926797,0.7958970401997256,44,500
7,0.79,0.452,0.164,0.28800000000000003,0.086,0.013289036544850497,0.12473572938689215,-0.11144669284204164,0.8087512879350801,43,500
7,0.8,0.452,0.158,0.29400000000000004,0.084,0.013605442176870748,0.11688311688311687,-0.10327767470624612,0.7678278199319495,42,500
7,0.81,0.444,0.158,0.28600000000000003,0.084,0.013605442176870748,0.11688311688311687,-0.10327767470624612,0.7678278199319495,42,500
7,0.82,0.444,0.156,0.28800000000000003,0.084,0.013605442176870748,0.11688311688311687,-0.10327767470624612,0.7678278199319495,42,500
7,0.83,0.44,0.152,0.28800000000000003,0.08,0.010714285714285714,0.10227272727272727,-0.09155844155844155,0.7139272771119823,40,500
